dt|tmp
2022-05-23 17:13:55.360000|57
2022-05-23 17:13:55.360000|54
2022-05-23 17:21:37.059000|10
2022-05-23 17:21:37.059000|7
2022-05-23 17:22:57.052000|14
2022-05-23 17:22:57.052000|12
2022-05-23 17:30:32.531000|66
2022-05-23 17:30:32.531000|74
2022-05-23 18:59:56.706000|9
2022-05-23 18:59:56.706000|9
2022-05-23 19:08:22.438000|2
2022-05-23 19:08:22.438000|0
2022-05-23 19:09:33.018000|0
2022-05-23 19:09:33.018000|1
2022-05-24 10:35:41.589000|203
2022-05-24 10:35:41.589000|199
2022-05-24 10:43:24.676000|196
2022-05-24 10:43:24.676000|202
2022-05-24 10:49:04.227000|189
2022-05-24 10:49:04.227000|183
2022-05-24 11:16:53.031000|206
2022-05-24 11:16:53.031000|206
2022-05-24 11:21:54.892000|209
2022-05-24 11:21:54.892000|208
2022-05-24 11:26:34.049000|213
2022-05-24 11:26:34.049000|214
2022-05-24 11:32:12.837000|228
2022-05-24 11:32:12.837000|228
2022-05-24 11:37:49.118000|236
2022-05-24 11:37:49.118000|235
2022-05-24 11:42:39.744000|221
2022-05-24 11:42:39.744000|221
2022-05-24 11:42:40.282000|222
2022-05-24 11:42:40.282000|223
2022-05-24 11:46:47.875000|213
2022-05-24 11:46:47.875000|212
2022-05-24 11:49:53.413000|220
2022-05-24 11:49:53.413000|221
2022-05-24 11:54:06.616000|215
2022-05-24 11:54:06.616000|217
2022-05-24 11:55:48.491000|225
2022-05-24 11:55:48.491000|226
2022-05-24 12:00:38.859000|221
2022-05-24 12:00:38.859000|219
2022-05-24 12:04:36.120000|226
2022-05-24 12:04:36.120000|224
2022-05-24 12:12:42.589000|231
2022-05-24 12:12:42.589000|232
2022-05-24 12:16:52.525000|218
2022-05-24 12:16:52.525000|218
2022-05-24 12:20:52.403000|166
2022-05-24 12:20:52.403000|172
2022-05-24 12:25:41.041000|23
2022-05-24 12:25:41.041000|26
2022-05-24 12:27:12.612000|20
2022-05-24 12:27:12.612000|23
2022-05-24 12:28:13.174000|29
2022-05-24 12:28:13.174000|32
2022-05-24 12:29:23.266000|24
2022-05-24 12:29:23.266000|24
2022-05-24 12:30:38.570000|26
2022-05-24 12:30:38.570000|26
2022-05-24 12:32:13.367000|24
2022-05-24 12:32:13.367000|24
2022-05-24 12:34:03.594000|24
2022-05-24 12:34:03.594000|24
2022-05-24 12:34:48.432000|23
2022-05-24 12:34:48.432000|23
2022-05-24 12:35:30.772000|23
2022-05-24 12:35:30.772000|23
2022-05-24 12:37:43.414000|34
2022-05-24 12:37:43.414000|34
2022-05-24 12:38:33.172000|33
2022-05-24 12:38:33.172000|32
2022-05-24 12:39:55.461000|35
2022-05-24 12:39:55.461000|34
2022-05-24 12:42:43.812000|32
2022-05-24 12:42:43.812000|32
2022-05-24 12:43:33.983000|32
2022-05-24 12:43:33.983000|31
2022-05-24 12:44:23.355000|34
2022-05-24 12:44:23.355000|33
2022-05-24 12:47:52.668000|27
2022-05-24 12:47:52.668000|28
2022-05-24 12:57:21.488000|39
2022-05-24 12:57:21.488000|38
2022-05-24 12:58:23.997000|31
2022-05-24 12:58:23.997000|32
2022-05-24 13:27:09.594000|34
2022-05-24 13:27:09.594000|35
2022-05-24 13:55:23.557000|52
2022-05-24 13:55:23.557000|53
2022-05-24 13:56:41.940000|47
2022-05-24 13:56:41.940000|47
2022-05-24 14:01:19.532000|59
2022-05-24 14:01:19.532000|59
2022-05-24 14:07:46.799000|60
2022-05-24 14:07:46.799000|59
2022-05-24 14:14:22.815000|72
2022-05-24 14:14:22.815000|74
2022-05-24 16:00:19.507000|1
2022-05-24 16:00:19.507000|1
2022-05-24 16:12:00.307000|6
2022-05-24 16:12:00.307000|12
2022-05-24 16:21:58.811000|139
2022-05-24 16:21:58.811000|138
2022-05-24 16:24:51.086000|137
2022-05-24 16:24:51.086000|132
2022-05-24 17:50:16.519000|188
2022-05-24 17:50:16.519000|186
2022-05-24 18:11:24.628000|211
2022-05-24 18:11:24.628000|212
2022-05-24 18:24:33.732000|213
2022-05-24 18:24:33.732000|215
2022-05-24 18:46:01.745000|225
2022-05-24 18:46:01.745000|218
2022-05-25 10:07:30.053000|274
2022-05-25 10:07:30.053000|286
2022-05-25 10:21:44.403000|281
2022-05-25 10:21:44.403000|280
2022-05-25 11:15:06.946000|4
2022-05-25 11:15:06.946000|3
2022-05-25 11:46:02.455000|0
2022-05-25 11:46:02.455000|293
2022-05-25 11:56:27.764000|0
2022-05-25 11:56:27.764000|0
2022-05-25 12:01:37.450000|23
2022-05-25 12:01:37.450000|106
2022-05-25 12:20:59.004000|0
2022-05-25 12:20:59.004000|33
2022-05-25 12:25:30.868000|38
2022-05-25 12:25:30.868000|44
2022-05-25 12:48:29.060000|2
2022-05-25 12:48:29.060000|57
2022-05-25 12:50:58.711000|2
2022-05-25 12:50:58.711000|67
2022-05-25 12:53:07.842000|77
2022-05-25 12:53:07.842000|118
2022-05-25 13:37:39.713000|2
2022-05-25 13:37:39.713000|3
2022-05-25 14:02:00.985000|86
2022-05-25 14:02:00.985000|3
2022-05-25 14:10:36.883000|2
2022-05-25 14:10:36.883000|104
2022-05-25 14:21:34.122000|167
2022-05-25 14:21:34.122000|247
2022-05-25 14:29:33.583000|134
2022-05-25 14:29:33.583000|187
2022-05-25 14:41:01.347000|7
2022-05-25 14:41:01.347000|108
2022-05-25 14:45:07.268000|36
2022-05-25 14:45:07.268000|122
2022-05-25 14:49:52.439000|121
2022-05-25 14:49:52.439000|3
2022-05-25 14:50:24.843000|124
2022-05-25 14:50:24.843000|120
2022-05-25 14:58:49.508000|190
2022-05-25 14:58:49.508000|177
2022-05-25 15:03:47.961000|5
2022-05-25 15:03:47.961000|0
2022-05-25 15:04:22.598000|127
2022-05-25 15:04:22.598000|148
2022-05-25 17:00:39.294000|272
2022-05-25 17:00:39.294000|8
2022-05-25 17:01:02.670000|279
2022-05-25 17:01:02.670000|8
2022-05-25 17:06:21.874000|262
2022-05-25 17:06:21.874000|8
2022-05-25 17:07:58.321000|0
2022-05-25 17:07:58.321000|0
2022-05-25 17:08:19.190000|6
2022-05-25 17:08:19.190000|236
2022-05-25 17:13:54.702000|11
2022-05-25 17:13:54.702000|18
2022-05-25 17:14:25.574000|236
2022-05-25 17:14:25.574000|9
2022-05-25 17:28:45.802000|0
2022-05-25 17:28:45.802000|11
2022-05-25 17:29:42.230000|0
2022-05-25 17:29:42.230000|16
2022-05-25 17:30:33.463000|0
2022-05-25 17:30:33.463000|0
2022-05-25 17:45:05.519000|243
2022-05-25 17:45:05.519000|4
2022-05-25 17:45:55.095000|239
2022-05-25 17:45:55.095000|0
2022-05-25 18:42:40.670000|0
2022-05-25 18:42:40.670000|273
2022-05-25 18:48:11.788000|0
2022-05-25 18:48:11.788000|0
2022-05-26 11:35:20.181000|0
2022-05-26 11:35:20.181000|0
2022-05-26 11:35:44.306000|0
2022-05-26 11:35:44.306000|0
2022-05-26 11:36:12.310000|0
2022-05-26 11:36:12.310000|0
2022-05-26 12:13:48.940000|2
2022-05-26 12:13:48.940000|4
2022-05-26 12:15:19.615000|41
2022-05-26 12:15:19.615000|0
2022-05-26 12:20:37.202000|0
2022-05-26 12:20:37.202000|31
2022-05-26 12:21:41.497000|28
2022-05-26 12:21:41.497000|28
2022-05-26 12:22:22.332000|0
2022-05-26 12:22:22.332000|0
2022-05-26 14:36:26.766000|9
2022-05-26 14:36:26.766000|74
2022-05-26 14:43:17.373000|6
2022-05-26 14:43:17.373000|11
2022-05-26 14:52:41.499000|100
2022-05-26 14:52:41.499000|16
2022-05-26 16:22:18.575000|6
2022-05-26 16:22:18.575000|3
2022-05-26 16:23:30.815000|6
2022-05-26 16:23:30.815000|4
