titulo,cluster
Espanha pode se tornar primeiro país da Europa a aprovar licença menstrual de 3 dias,133
Governo da Espanha aprova primeira licença menstrual remunerada da Europa; projeto irá ao Parlamento,133
Governo da Espanha aprova licença para mulheres que sofrem de menstruação severa,133
"ONU: com guerra na Ucrânia, África enfrenta crise 'sem precedentes'",132
ONU alerta para risco de crise alimentar global causada pela guerra,132
ONU afirma que guerra na Ucrânia gera preocupação com fome global,132
"Guerra entre Rússia e Ucrânia afeta comércio de alimentos, diz FMI",132
O que fazer no caso de Pix divergente?,131
Como agir ao fazer o Pix para uma conta errada?,131
Ao realizar o Pix para uma conta errada o que deve ser feito?,131
Ao fazer o Pix na conta errada consigo resolver?,131
Atriz de 'Dr. Estranho' Zara Phythian e o marido são condenados por abuso sexual,130
Atriz de 'Doutor Estranho' e marido são presos por abuso sexual infantil,130
Atriz de 'Doutor Estranho' e marido são presos por abuso sexual infantil,130
Atriz de 'Doutor Estranho' e marido são condenados por abuso sexual infantil,130
"Inflação oficial fica em 1,06% em abril, diz IBGE",129
"Inflação chega a 1,06% em abril, maior para o mês desde 1996",129
"Inflação fica em 1,06% em abril, maior índice para o mês em 26 anos",129
"IGP-DI cai e tem inflação de 0,41% em abril, diz FGV",129
Gol e Avianca anunciam acordo para criar holding Grupo Abra,128
Gol e Avianca anunciam acordo para criar holding Grupo Abra,128
Gol e Avianca anunciam acordo para criar holding Grupo Abra,128
Gol e Avianca se unem para criar o grupo Abra,128
Retrato de Marilyn Monroe feito por Andy Warhol pode se tornar a obra mais cara do século XX,127
Por que a Marilyn Monroe de Andy Warhol vale mais que Picasso,127
"Obra Marilyn, de Warhol, é vendida por US$ 195 milhões em leilão",127
Pintura de Marilyn Monroe feita por Andy Warhol é leiloada por mais de R$ 1 bilhão,127
Motociatas de Bolsonaro: Deputado entra com ação no TSE por gastos do presidente,126
Polícia recupera motocicleta usada em assaltos em Santarém,125
Adolescentes suspeitos de furtar motocicleta são detidos pela Guarda Municipal de Limeira,125
Polícia Civil de Americana apreende motos roubadas e prende suspeito em Sumaré,125
"Polícia Civil vai investigar atropelamento de motociclista em pedágio da Fernão Dias, em MG",125
Indicada a embaixadora americana no Brasil diz que eleições brasileiras serão justas por conta das instituições democráticas,124
"Queremos eleições livres e justas no Brasil, diz subsecretária de Estado dos EUA",124
"EUA confiam no sistema eleitoral brasileiro, diz subsecretária de Estado",124
Senadores americanos apontam 'retrocesso da democracia no Brasil' em sabatina de indicada de Biden para embaixada,124
Estados Unidos dizem que brasileiros precisam confiar nas eleições,124
"Queremos eleições livres e justas no Brasil, diz subsecretária de Estado dos EUA",124
"Queremos eleições livres e justas no Brasil, diz subsecretária de Estado dos EUA",124
Subsecretária diz que EUA querem eleição livre e justa no Brasil,124
"Homem é condenado a mais de 30 anos de prisão por matar a ex-mulher enquanto ela implorava para não ser morta, em Planaltina de Goiás",123
Acusado matar homem e deixar mulher  ferida por vingança é condenado a 33 anos de prisão,123
Britânicos são condenados a 38 anos de prisão por pisotear homem até a morte dentro de sua própria casa,123
Homem é condenado a 37 anos de prisão por matar mãe e enterrar corpo no quintal de casa em MG,123
ICMS sobre combustíveis,122
Arrecadação de ICMS sobre petróleo e combustíveis bate recorde na parcial deste ano,122
Arrecadação de ICMS sobre petróleo e combustíveis bate recorde,122
Arrecadação de ICMS sobre petróleo e combustíveis bate recorde em 2022,122
"Setor de serviços do Brasil cresce 1,7% em março, acima do esperado",121
"Serviços crescem 1,7% de fevereiro para março, diz IBGE",121
"Serviços crescem 1,7% no mês de fevereiro para março, diz IBGE",121
"Setor de serviços cresce 1,7% em março e fecha 1º trimestre no azul",121
"Vendas do comércio sobem 1% em março e têm 3ª alta seguida, diz IBGE",121
"Vendas do varejo crescem 1% de fevereiro para março, diz IBGE",121
"Volume de vendas do varejo cresce pelo terceiro mês seguido na PB, diz IBGE",121
"Volume de serviços prestados sobe 1,7% em março ante fevereiro, revela IBGE",121
"Volume de serviços prestados sobe 1,7% em março ante fevereiro, revela IBGE",121
Alagoas realiza eleição indireta para governador-tampão neste domingo,120
STF mantém eleição indireta em Alagoas,120
"Em MS, município de Angélica elegerá prefeito neste domingo",120
Município de Angélica elegerá prefeito e vice-prefeito neste domingo,120
Deputado Paulo Dantas é eleito governador de Alagoas em votação indireta,120
STF libera a eleição indireta para governador de Alagoas,120
"STF cancela edital, e Alagoas terá de mudar forma de eleição para o governo",120
Assembleia de Alagoas marca para domingo eleição para governador-tampão,120
